"export-plot data (NetLogo 6.0.1)"
"lupus.nlogo"
"04/29/2018 22:26:27:059 -0400"

"MODEL SETTINGS"
"bcell-lifetime","autoreactive-eating-time","bcell-spawn-rate","tcell-spawn-rate","dcell-lifetime","antigen-lifetime","antibody-lifetime","body-cell-spawn-rate","dcell-spawn-rate","autoantibody-eating-time","tcell-lifetime","has-predisposition?","nucleic-antigen-per-cell","antibody-production-time","num-dcells","anifrolumab-amount","anifrolumab-cycle-length","num-tcells","num-bcells","anifrolumab-lifetime","cell-growth-rate","base-cell-death-rate"
"100","4","32","32","100","50","50","3","32","5","100","true","3","3","1","100","100","1","1","100","15","27"

"""Infamation Respose"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","11600","0","67.1","true","""Nucleic Antigens""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Nucleic Antigens""","true","0","1","105","10367"
"""Matured Dcells""","true","0","1","64","10367"

"""Nucleic Antigens""",,,,"""Matured Dcells"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","105","true","0","0","64","true"
"1","0","105","true","1","0","64","true"
"2","0","105","true","2","0","64","true"
"3","0","105","true","3","0","64","true"
"4","0","105","true","4","0","64","true"
"5","0","105","true","5","0","64","true"
"6","0","105","true","6","0","64","true"
"7","0","105","true","7","0","64","true"
"8","0","105","true","8","0","64","true"
"9","0","105","true","9","0","64","true"
"10","0","105","true","10","0","64","true"
"11","2","105","true","11","0","64","true"
"12","2","105","true","12","0","64","true"
"13","2","105","true","13","0","64","true"
"14","2","105","true","14","0","64","true"
"15","2","105","true","15","0","64","true"
"16","2","105","true","16","0","64","true"
"17","2","105","true","17","0","64","true"
"18","4","105","true","18","0","64","true"
"19","5","105","true","19","0","64","true"
"20","5","105","true","20","0","64","true"
"21","6","105","true","21","0","64","true"
"22","7","105","true","22","0","64","true"
"23","8","105","true","23","0","64","true"
"24","8","105","true","24","0","64","true"
"25","8","105","true","25","0","64","true"
"26","8","105","true","26","0","64","true"
"27","8","105","true","27","0","64","true"
"28","8","105","true","28","0","64","true"
"29","8","105","true","29","0","64","true"
"30","8","105","true","30","0","64","true"
"31","8","105","true","31","0","64","true"
"32","8","105","true","32","0","64","true"
"33","8","105","true","33","0","64","true"
"34","10","105","true","34","0","64","true"
"35","10","105","true","35","0","64","true"
"36","10","105","true","36","0","64","true"
