"export-plot data (NetLogo 6.0.1)"
"lupus.nlogo"
"04/29/2018 22:27:38:198 -0400"

"MODEL SETTINGS"
"bcell-lifetime","autoreactive-eating-time","bcell-spawn-rate","tcell-spawn-rate","dcell-lifetime","antigen-lifetime","antibody-lifetime","body-cell-spawn-rate","dcell-spawn-rate","autoantibody-eating-time","tcell-lifetime","has-predisposition?","nucleic-antigen-per-cell","antibody-production-time","num-dcells","anifrolumab-amount","anifrolumab-cycle-length","num-tcells","num-bcells","anifrolumab-lifetime","cell-growth-rate","base-cell-death-rate"
"100","4","32","32","100","50","50","3","32","5","100","true","3","3","1","100","10","1","1","100","15","27"

"""Effect of Anifrolumab"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","13100","0","31.9","true","""Autoreactive Agents""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Autoreactive Agents""","true","0","1","135","11124"
"""Anifrolumab Angents""","true","0","1","95","11124"

"""Autoreactive Agents""",,,,"""Anifrolumab Angents"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","135","true","0","0","95","true"
"1","0","135","true","1","0","95","true"
"2","0","135","true","2","1","95","true"
"3","0","135","true","3","1","95","true"
"4","0","135","true","4","2","95","true"
"5","0","135","true","5","2","95","true"
"6","0","135","true","6","3","95","true"
"7","0","135","true","7","3","95","true"
"8","0","135","true","8","3","95","true"
"9","0","135","true","9","5","95","true"
"10","0","135","true","10","5","95","true"
"11","0","135","true","11","5","95","true"
"12","0","135","true","12","5","95","true"
"13","0","135","true","13","5","95","true"
"14","0","135","true","14","5","95","true"
"15","0","135","true","15","5","95","true"
"16","0","135","true","16","5","95","true"
"17","0","135","true","17","5","95","true"
"18","0","135","true","18","5","95","true"
"19","0","135","true","19","5","95","true"
"20","0","135","true","20","5","95","true"
"21","0","135","true","21","5","95","true"
"22","0","135","true","22","6","95","true"
"23","0","135","true","23","6","95","true"
"24","0","135","true","24","6","95","true"
"25","0","135","true","25","6","95","true"
"26","0","135","true","26","6","95","true"
"27","0","135","true","27","7","95","true"
"28","0","135","true","28","7","95","true"
"29","0","135","true","29","7","95","true"
"30","0","135","true","30","7","95","true"
"31","0","135","true","31","7","95","true"
"32","0","135","true","32","7","95","true"
"33","0","135","true","33","7","95","true"
"34","0","135","true","34","8","95","true"
"35","0","135","true","35","8","95","true"
"36","0","135","true","36","9","95","true"
"37","0","135","true","37","9","95","true"
"38","0","135","true","38","9","95","true"
"39","0","135","true","39","9","95","true"
"40","0","135","true","40","9","95","true"
"41","0","135","true","41","9","95","true"
"42","0","135","true","42","9","95","true"
