"export-plot data (NetLogo 6.0.1)"
"lupus.nlogo"
"04/29/2018 22:24:34:019 -0400"

"MODEL SETTINGS"
"bcell-lifetime","autoreactive-eating-time","bcell-spawn-rate","tcell-spawn-rate","dcell-lifetime","antigen-lifetime","antibody-lifetime","body-cell-spawn-rate","dcell-spawn-rate","autoantibody-eating-time","tcell-lifetime","has-predisposition?","nucleic-antigen-per-cell","antibody-production-time","num-dcells","anifrolumab-amount","anifrolumab-cycle-length","num-tcells","num-bcells","anifrolumab-lifetime","cell-growth-rate","base-cell-death-rate"
"100","4","32","32","100","50","50","3","32","5","100","true","3","3","1","100","300","1","1","100","15","27"

"""Dead Cells Over Time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10500","0","119","true","""default""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","0","10247"

"""default"""
"x","y","color","pen down?"
"0","0","0","true"
"1","0","0","true"
"2","0","0","true"
"3","0","0","true"
"4","0","0","true"
"5","0","0","true"
"6","0","0","true"
"7","0","0","true"
"8","1","0","true"
"9","1","0","true"
"10","2","0","true"
"11","2","0","true"
"12","2","0","true"
"13","3","0","true"
"14","4","0","true"
"15","5","0","true"
"16","5","0","true"
"17","5","0","true"
"18","6","0","true"
"19","7","0","true"
"20","7","0","true"
"21","6","0","true"
"22","7","0","true"
"23","6","0","true"
"24","6","0","true"
"25","8","0","true"
"26","9","0","true"
"27","9","0","true"
"28","9","0","true"
"29","10","0","true"
"30","10","0","true"
"31","14","0","true"
"32","13","0","true"
"33","13","0","true"
"34","13","0","true"
"35","13","0","true"
"36","13","0","true"
"37","13","0","true"
"38","13","0","true"
"39","15","0","true"
"40","14","0","true"
"41","14","0","true"
"42","15","0","true"
"43","15","0","true"
"44","15","0","true"
"45","15","0","true"
"46","14","0","true"
"47","12","0","true"
"48","12","0","true"
"49","13","0","true"
"50","12","0","true"
"51","12","0","true"
"52","14","0","true"
"53","14","0","true"
"54","14","0","true"
"55","13","0","true"
"56","13","0","true"
"57","15","0","true"
"58","16","0","true"
"59","16","0","true"
"60","16","0","true"
"61","14","0","true"
"62","11","0","true"
"63","12","0","true"
"64","12","0","true"
"65","12","0","true"
"66","13","0","true"
"67","13","0","true"
"68","13","0","true"
"69","13","0","true"
"70","13","0","true"
"71","14","0","true"
"72","14","0","true"
"73","14","0","true"
"74","13","0","true"
"75","13","0","true"
"76","13","0","true"
"77","13","0","true"
"78","13","0","true"
"79","13","0","true"
"80","13","0","true"
"81","15","0","true"
"82","15","0","true"
"83","16","0","true"
"84","16","0","true"
"85","16","0","true"
"86","15","0","true"
"87","16","0","true"
"88","17","0","true"
"89","16","0","true"
"90","18","0","true"
"91","17","0","true"
"92","17","0","true"
"93","18","0","true"
"94","16","0","true"
"95","17","0","true"
"96","17","0","true"
"97","17","0","true"
"98","15","0","true"
"99","16","0","true"
"100","16","0","true"
"101","15","0","true"
"102","15","0","true"
"103","16","0","true"
"104","16","0","true"
"105","17","0","true"
"106","17","0","true"
"107","16","0","true"
"108","16","0","true"
"109","15","0","true"
"110","15","0","true"
"111","15","0","true"
"112","17","0","true"
"113","18","0","true"
"114","18","0","true"
"115","18","0","true"
"116","18","0","true"
"117","18","0","true"
"118","18","0","true"
"119","19","0","true"
"120","17","0","true"
"121","16","0","true"
"122","16","0","true"
"123","16","0","true"
"124","16","0","true"
"125","16","0","true"
"126","16","0","true"
"127","17","0","true"
"128","16","0","true"
"129","16","0","true"
"130","16","0","true"
"131","15","0","true"
"132","14","0","true"
"133","15","0","true"
"134","14","0","true"
"135","14","0","true"
"136","13","0","true"
"137","14","0","true"
"138","16","0","true"
"139","15","0","true"
"140","15","0","true"
"141","15","0","true"
"142","16","0","true"
"143","16","0","true"
"144","17","0","true"
"145","16","0","true"
"146","16","0","true"
"147","17","0","true"
"148","17","0","true"
"149","18","0","true"
"150","18","0","true"
"151","18","0","true"
"152","18","0","true"
"153","16","0","true"
"154","16","0","true"
"155","16","0","true"
"156","16","0","true"
"157","18","0","true"
"158","18","0","true"
"159","18","0","true"
"160","19","0","true"
"161","19","0","true"
"162","18","0","true"
"163","18","0","true"
"164","19","0","true"
"165","19","0","true"
"166","19","0","true"
"167","19","0","true"
"168","20","0","true"
"169","19","0","true"
"170","19","0","true"
"171","19","0","true"
"172","19","0","true"
"173","18","0","true"
"174","18","0","true"
"175","18","0","true"
"176","18","0","true"
"177","16","0","true"
"178","17","0","true"
"179","17","0","true"
"180","16","0","true"
"181","16","0","true"
"182","16","0","true"
"183","18","0","true"
"184","19","0","true"
"185","20","0","true"
"186","19","0","true"
"187","19","0","true"
"188","19","0","true"
"189","18","0","true"
"190","18","0","true"
"191","17","0","true"
"192","17","0","true"
"193","18","0","true"
"194","18","0","true"
"195","18","0","true"
"196","18","0","true"
"197","18","0","true"
"198","18","0","true"
"199","19","0","true"
"200","19","0","true"
"201","20","0","true"
"202","22","0","true"
"203","23","0","true"
"204","22","0","true"
"205","20","0","true"
"206","17","0","true"
"207","17","0","true"
"208","16","0","true"
"209","16","0","true"
"210","16","0","true"
"211","17","0","true"
"212","17","0","true"
"213","17","0","true"
"214","18","0","true"
"215","17","0","true"
"216","18","0","true"
"217","19","0","true"
"218","20","0","true"
"219","22","0","true"
"220","22","0","true"
"221","23","0","true"
"222","24","0","true"
"223","26","0","true"
"224","25","0","true"
"225","25","0","true"
"226","24","0","true"
"227","24","0","true"
"228","25","0","true"
"229","25","0","true"
"230","24","0","true"
"231","22","0","true"
"232","24","0","true"
"233","23","0","true"
"234","23","0","true"
"235","24","0","true"
"236","24","0","true"
"237","22","0","true"
"238","21","0","true"
"239","18","0","true"
"240","18","0","true"
"241","20","0","true"
"242","20","0","true"
"243","21","0","true"
"244","18","0","true"
"245","19","0","true"
"246","19","0","true"
"247","22","0","true"
"248","22","0","true"
"249","23","0","true"
"250","22","0","true"
"251","22","0","true"
"252","24","0","true"
"253","22","0","true"
"254","20","0","true"
"255","21","0","true"
"256","24","0","true"
"257","24","0","true"
"258","24","0","true"
"259","26","0","true"
"260","26","0","true"
"261","24","0","true"
"262","25","0","true"
"263","22","0","true"
"264","22","0","true"
"265","23","0","true"
"266","22","0","true"
"267","23","0","true"
"268","22","0","true"
"269","24","0","true"
"270","24","0","true"
"271","23","0","true"
"272","23","0","true"
"273","23","0","true"
"274","23","0","true"
"275","24","0","true"
"276","23","0","true"
"277","24","0","true"
"278","24","0","true"
"279","25","0","true"
"280","24","0","true"
"281","22","0","true"
"282","21","0","true"
"283","20","0","true"
"284","22","0","true"
"285","22","0","true"
"286","22","0","true"
"287","23","0","true"
"288","23","0","true"
"289","22","0","true"
"290","22","0","true"
"291","22","0","true"
"292","22","0","true"
"293","22","0","true"
"294","22","0","true"
"295","22","0","true"
"296","23","0","true"
"297","23","0","true"
"298","25","0","true"
"299","26","0","true"
"300","26","0","true"
"301","26","0","true"
"302","26","0","true"
"303","25","0","true"
"304","25","0","true"
"305","26","0","true"
"306","28","0","true"
"307","31","0","true"
"308","32","0","true"
"309","32","0","true"
"310","30","0","true"
"311","28","0","true"
"312","27","0","true"
"313","28","0","true"
"314","32","0","true"
"315","30","0","true"
"316","30","0","true"
"317","31","0","true"
"318","32","0","true"
"319","33","0","true"
"320","33","0","true"
"321","34","0","true"
"322","33","0","true"
"323","32","0","true"
"324","32","0","true"
"325","33","0","true"
"326","33","0","true"
"327","33","0","true"
"328","33","0","true"
"329","33","0","true"
"330","32","0","true"
"331","32","0","true"
"332","34","0","true"
"333","34","0","true"
"334","34","0","true"
"335","31","0","true"
"336","31","0","true"
"337","31","0","true"
"338","30","0","true"
"339","29","0","true"
"340","31","0","true"
"341","30","0","true"
"342","29","0","true"
"343","30","0","true"
"344","32","0","true"
"345","31","0","true"
"346","29","0","true"
"347","30","0","true"
"348","29","0","true"
"349","28","0","true"
"350","29","0","true"
"351","30","0","true"
"352","30","0","true"
"353","30","0","true"
"354","32","0","true"
"355","32","0","true"
"356","31","0","true"
"357","30","0","true"
"358","27","0","true"
"359","27","0","true"
"360","29","0","true"
"361","29","0","true"
"362","29","0","true"
"363","30","0","true"
"364","30","0","true"
"365","31","0","true"
"366","31","0","true"
"367","32","0","true"
"368","33","0","true"
"369","33","0","true"
"370","33","0","true"
"371","35","0","true"
"372","35","0","true"
"373","33","0","true"
"374","32","0","true"
"375","32","0","true"
"376","33","0","true"
"377","33","0","true"
"378","34","0","true"
"379","34","0","true"
"380","34","0","true"
"381","33","0","true"
"382","32","0","true"
"383","30","0","true"
"384","33","0","true"
"385","36","0","true"
"386","35","0","true"
"387","36","0","true"
"388","37","0","true"
"389","36","0","true"
"390","34","0","true"
"391","34","0","true"
"392","34","0","true"
"393","36","0","true"
"394","35","0","true"
"395","33","0","true"
"396","32","0","true"
"397","32","0","true"
"398","33","0","true"
"399","34","0","true"
"400","37","0","true"
"401","40","0","true"
"402","39","0","true"
"403","38","0","true"
"404","36","0","true"
"405","37","0","true"
"406","35","0","true"
"407","34","0","true"
"408","34","0","true"
"409","34","0","true"
"410","32","0","true"
"411","30","0","true"
"412","31","0","true"
"413","32","0","true"
"414","32","0","true"
"415","34","0","true"
"416","33","0","true"
"417","33","0","true"
"418","33","0","true"
"419","31","0","true"
"420","33","0","true"
"421","31","0","true"
"422","35","0","true"
"423","35","0","true"
"424","37","0","true"
