"export-plot data (NetLogo 6.0.1)"
"lupus.nlogo"
"04/29/2018 22:21:55:511 -0400"

"MODEL SETTINGS"
"bcell-lifetime","autoreactive-eating-time","bcell-spawn-rate","tcell-spawn-rate","dcell-lifetime","antigen-lifetime","antibody-lifetime","body-cell-spawn-rate","dcell-spawn-rate","autoantibody-eating-time","tcell-lifetime","has-predisposition?","nucleic-antigen-per-cell","antibody-production-time","num-dcells","anifrolumab-amount","anifrolumab-cycle-length","num-tcells","num-bcells","anifrolumab-lifetime","cell-growth-rate","base-cell-death-rate"
"100","4","32","32","100","50","50","3","32","5","100","true","3","3","1","100","300","1","1","100","15","27"

"""Effect of Anifrolumab"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","10500","0","51.7","true","""Autoreactive Agents""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""Autoreactive Agents""","true","0","1","135","10143"
"""Anifrolumab Angents""","true","0","1","95","10143"

"""Autoreactive Agents""",,,,"""Anifrolumab Angents"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","135","true","0","0","95","true"
"1","0","135","true","1","0","95","true"
"2","0","135","true","2","0","95","true"
"3","0","135","true","3","0","95","true"
"4","0","135","true","4","0","95","true"
"5","0","135","true","5","0","95","true"
"6","0","135","true","6","0","95","true"
"7","0","135","true","7","0","95","true"
"8","0","135","true","8","0","95","true"
"9","0","135","true","9","0","95","true"
"10","0","135","true","10","0","95","true"
"11","0","135","true","11","0","95","true"
"12","0","135","true","12","0","95","true"
"13","0","135","true","13","0","95","true"
"14","0","135","true","14","0","95","true"
"15","0","135","true","15","0","95","true"
"16","0","135","true","16","0","95","true"
"17","0","135","true","17","0","95","true"
"18","0","135","true","18","0","95","true"
"19","0","135","true","19","0","95","true"
"20","0","135","true","20","0","95","true"
"21","0","135","true","21","0","95","true"
"22","0","135","true","22","0","95","true"
"23","0","135","true","23","0","95","true"
"24","0","135","true","24","0","95","true"
"25","0","135","true","25","0","95","true"
"26","0","135","true","26","0","95","true"
"27","0","135","true","27","0","95","true"
"28","0","135","true","28","0","95","true"
"29","0","135","true","29","0","95","true"
"30","0","135","true","30","0","95","true"
"31","0","135","true","31","0","95","true"
"32","0","135","true","32","0","95","true"
"33","0","135","true","33","0","95","true"
"34","0","135","true","34","0","95","true"
"35","0","135","true","35","0","95","true"
"36","0","135","true","36","0","95","true"
"37","0","135","true","37","0","95","true"
"38","0","135","true","38","0","95","true"
"39","0","135","true","39","0","95","true"
"40","0","135","true","40","0","95","true"
"41","0","135","true","41","0","95","true"
"42","0","135","true","42","0","95","true"
"43","0","135","true","43","0","95","true"
"44","0","135","true","44","0","95","true"
"45","0","135","true","45","0","95","true"
"46","0","135","true","46","0","95","true"
"47","0","135","true","47","0","95","true"
"48","0","135","true","48","0","95","true"
"49","0","135","true","49","0","95","true"
"50","0","135","true","50","0","95","true"
"51","0","135","true","51","0","95","true"
"52","0","135","true","52","0","95","true"
"53","0","135","true","53","0","95","true"
"54","0","135","true","54","0","95","true"
"55","0","135","true","55","0","95","true"
"56","0","135","true","56","0","95","true"
"57","0","135","true","57","0","95","true"
"58","0","135","true","58","0","95","true"
"59","0","135","true","59","0","95","true"
"60","0","135","true","60","0","95","true"
"61","0","135","true","61","0","95","true"
"62","0","135","true","62","0","95","true"
"63","0","135","true","63","0","95","true"
"64","0","135","true","64","0","95","true"
"65","0","135","true","65","0","95","true"
"66","0","135","true","66","0","95","true"
"67","0","135","true","67","0","95","true"
"68","0","135","true","68","0","95","true"
"69","0","135","true","69","0","95","true"
"70","0","135","true","70","0","95","true"
"71","0","135","true","71","0","95","true"
"72","0","135","true","72","0","95","true"
"73","0","135","true","73","0","95","true"
"74","0","135","true","74","0","95","true"
"75","0","135","true","75","0","95","true"
"76","0","135","true","76","0","95","true"
"77","0","135","true","77","0","95","true"
"78","0","135","true","78","0","95","true"
"79","0","135","true","79","0","95","true"
"80","0","135","true","80","0","95","true"
"81","0","135","true","81","0","95","true"
"82","0","135","true","82","0","95","true"
"83","0","135","true","83","0","95","true"
"84","0","135","true","84","0","95","true"
"85","0","135","true","85","0","95","true"
"86","0","135","true","86","0","95","true"
"87","0","135","true","87","0","95","true"
"88","0","135","true","88","0","95","true"
"89","0","135","true","89","0","95","true"
"90","0","135","true","90","0","95","true"
"91","0","135","true","91","0","95","true"
"92","0","135","true","92","0","95","true"
"93","0","135","true","93","0","95","true"
"94","0","135","true","94","0","95","true"
"95","0","135","true","95","0","95","true"
"96","0","135","true","96","0","95","true"
"97","0","135","true","97","0","95","true"
"98","0","135","true","98","0","95","true"
"99","0","135","true","99","0","95","true"
"100","0","135","true","100","0","95","true"
"101","0","135","true","101","0","95","true"
"102","0","135","true","102","0","95","true"
"103","0","135","true","103","0","95","true"
"104","0","135","true","104","0","95","true"
"105","0","135","true","105","0","95","true"
"106","0","135","true","106","0","95","true"
"107","0","135","true","107","0","95","true"
"108","0","135","true","108","0","95","true"
"109","0","135","true","109","0","95","true"
"110","0","135","true","110","0","95","true"
"111","0","135","true","111","0","95","true"
"112","0","135","true","112","0","95","true"
"113","0","135","true","113","0","95","true"
"114","0","135","true","114","0","95","true"
"115","0","135","true","115","0","95","true"
"116","0","135","true","116","0","95","true"
"117","0","135","true","117","0","95","true"
"118","0","135","true","118","0","95","true"
"119","0","135","true","119","0","95","true"
"120","0","135","true","120","0","95","true"
"121","0","135","true","121","0","95","true"
"122","0","135","true","122","0","95","true"
"123","0","135","true","123","0","95","true"
"124","0","135","true","124","0","95","true"
"125","0","135","true","125","0","95","true"
"126","0","135","true","126","0","95","true"
"127","0","135","true","127","0","95","true"
"128","0","135","true","128","0","95","true"
"129","0","135","true","129","0","95","true"
"130","0","135","true","130","0","95","true"
"131","0","135","true","131","0","95","true"
"132","0","135","true","132","0","95","true"
"133","0","135","true","133","0","95","true"
"134","0","135","true","134","0","95","true"
"135","0","135","true","135","0","95","true"
"136","0","135","true","136","0","95","true"
"137","0","135","true","137","0","95","true"
"138","0","135","true","138","0","95","true"
"139","0","135","true","139","0","95","true"
"140","0","135","true","140","0","95","true"
"141","0","135","true","141","0","95","true"
"142","0","135","true","142","0","95","true"
"143","0","135","true","143","0","95","true"
"144","0","135","true","144","0","95","true"
"145","0","135","true","145","0","95","true"
"146","0","135","true","146","0","95","true"
"147","0","135","true","147","0","95","true"
"148","0","135","true","148","0","95","true"
"149","0","135","true","149","0","95","true"
"150","0","135","true","150","0","95","true"
"151","0","135","true","151","0","95","true"
"152","0","135","true","152","0","95","true"
"153","0","135","true","153","0","95","true"
"154","0","135","true","154","0","95","true"
"155","0","135","true","155","0","95","true"
"156","0","135","true","156","0","95","true"
"157","0","135","true","157","0","95","true"
"158","0","135","true","158","0","95","true"
"159","0","135","true","159","0","95","true"
"160","0","135","true","160","0","95","true"
"161","0","135","true","161","0","95","true"
"162","0","135","true","162","0","95","true"
"163","0","135","true","163","0","95","true"
"164","0","135","true","164","0","95","true"
"165","0","135","true","165","0","95","true"
"166","0","135","true","166","0","95","true"
"167","0","135","true","167","0","95","true"
"168","0","135","true","168","0","95","true"
"169","0","135","true","169","0","95","true"
"170","0","135","true","170","0","95","true"
"171","0","135","true","171","0","95","true"
"172","0","135","true","172","0","95","true"
"173","0","135","true","173","0","95","true"
"174","0","135","true","174","0","95","true"
"175","0","135","true","175","0","95","true"
"176","0","135","true","176","0","95","true"
"177","0","135","true","177","0","95","true"
"178","1","135","true","178","0","95","true"
"179","1","135","true","179","0","95","true"
"180","1","135","true","180","0","95","true"
"181","1","135","true","181","0","95","true"
"182","1","135","true","182","0","95","true"
"183","1","135","true","183","0","95","true"
"184","1","135","true","184","0","95","true"
"185","1","135","true","185","0","95","true"
"186","1","135","true","186","0","95","true"
"187","1","135","true","187","0","95","true"
"188","1","135","true","188","0","95","true"
"189","1","135","true","189","0","95","true"
"190","1","135","true","190","0","95","true"
"191","1","135","true","191","0","95","true"
"192","1","135","true","192","0","95","true"
"193","1","135","true","193","0","95","true"
"194","1","135","true","194","0","95","true"
"195","1","135","true","195","0","95","true"
"196","1","135","true","196","0","95","true"
"197","1","135","true","197","0","95","true"
"198","1","135","true","198","0","95","true"
"199","1","135","true","199","0","95","true"
"200","1","135","true","200","0","95","true"
"201","1","135","true","201","0","95","true"
"202","2","135","true","202","0","95","true"
"203","2","135","true","203","0","95","true"
"204","2","135","true","204","0","95","true"
"205","2","135","true","205","0","95","true"
"206","2","135","true","206","0","95","true"
"207","2","135","true","207","0","95","true"
"208","2","135","true","208","0","95","true"
"209","2","135","true","209","0","95","true"
"210","2","135","true","210","0","95","true"
"211","2","135","true","211","0","95","true"
"212","2","135","true","212","0","95","true"
"213","2","135","true","213","0","95","true"
"214","2","135","true","214","0","95","true"
"215","2","135","true","215","0","95","true"
"216","2","135","true","216","0","95","true"
"217","2","135","true","217","0","95","true"
"218","2","135","true","218","0","95","true"
"219","2","135","true","219","0","95","true"
"220","2","135","true","220","0","95","true"
"221","2","135","true","221","0","95","true"
"222","2","135","true","222","0","95","true"
"223","2","135","true","223","0","95","true"
"224","2","135","true","224","0","95","true"
"225","2","135","true","225","0","95","true"
"226","2","135","true","226","0","95","true"
"227","2","135","true","227","0","95","true"
"228","2","135","true","228","0","95","true"
"229","2","135","true","229","0","95","true"
"230","2","135","true","230","0","95","true"
"231","2","135","true","231","0","95","true"
"232","2","135","true","232","0","95","true"
"233","2","135","true","233","0","95","true"
"234","2","135","true","234","0","95","true"
"235","2","135","true","235","0","95","true"
"236","2","135","true","236","0","95","true"
"237","2","135","true","237","0","95","true"
"238","2","135","true","238","0","95","true"
"239","2","135","true","239","0","95","true"
"240","2","135","true","240","0","95","true"
"241","2","135","true","241","0","95","true"
"242","2","135","true","242","0","95","true"
"243","2","135","true","243","0","95","true"
"244","2","135","true","244","0","95","true"
"245","2","135","true","245","0","95","true"
"246","2","135","true","246","0","95","true"
"247","2","135","true","247","0","95","true"
"248","2","135","true","248","0","95","true"
"249","2","135","true","249","0","95","true"
"250","2","135","true","250","0","95","true"
"251","2","135","true","251","0","95","true"
"252","2","135","true","252","0","95","true"
"253","2","135","true","253","0","95","true"
"254","2","135","true","254","0","95","true"
"255","2","135","true","255","0","95","true"
"256","2","135","true","256","0","95","true"
"257","2","135","true","257","0","95","true"
"258","2","135","true","258","0","95","true"
"259","2","135","true","259","0","95","true"
"260","2","135","true","260","0","95","true"
"261","3","135","true","261","0","95","true"
"262","3","135","true","262","0","95","true"
"263","3","135","true","263","0","95","true"
"264","3","135","true","264","0","95","true"
"265","3","135","true","265","0","95","true"
"266","3","135","true","266","0","95","true"
"267","3","135","true","267","0","95","true"
"268","3","135","true","268","0","95","true"
"269","3","135","true","269","0","95","true"
"270","3","135","true","270","0","95","true"
"271","4","135","true","271","0","95","true"
"272","4","135","true","272","0","95","true"
"273","4","135","true","273","0","95","true"
"274","4","135","true","274","0","95","true"
"275","4","135","true","275","0","95","true"
"276","4","135","true","276","0","95","true"
"277","5","135","true","277","0","95","true"
"278","5","135","true","278","0","95","true"
"279","4","135","true","279","0","95","true"
"280","4","135","true","280","0","95","true"
"281","4","135","true","281","0","95","true"
"282","4","135","true","282","0","95","true"
"283","4","135","true","283","0","95","true"
"284","4","135","true","284","0","95","true"
"285","4","135","true","285","0","95","true"
"286","4","135","true","286","0","95","true"
"287","4","135","true","287","0","95","true"
"288","4","135","true","288","0","95","true"
"289","4","135","true","289","0","95","true"
"290","4","135","true","290","0","95","true"
"291","4","135","true","291","0","95","true"
"292","4","135","true","292","0","95","true"
"293","4","135","true","293","0","95","true"
"294","4","135","true","294","0","95","true"
"295","4","135","true","295","0","95","true"
"296","4","135","true","296","0","95","true"
"297","4","135","true","297","0","95","true"
"298","4","135","true","298","0","95","true"
"299","4","135","true","299","0","95","true"
"300","4","135","true","300","0","95","true"
"301","4","135","true","301","0","95","true"
"302","4","135","true","302","0","95","true"
"303","3","135","true","303","0","95","true"
"304","3","135","true","304","0","95","true"
"305","3","135","true","305","0","95","true"
"306","3","135","true","306","0","95","true"
"307","3","135","true","307","0","95","true"
"308","3","135","true","308","0","95","true"
"309","3","135","true","309","0","95","true"
"310","3","135","true","310","0","95","true"
"311","3","135","true","311","0","95","true"
"312","3","135","true","312","0","95","true"
"313","3","135","true","313","0","95","true"
"314","3","135","true","314","0","95","true"
"315","3","135","true","315","0","95","true"
"316","3","135","true","316","0","95","true"
"317","3","135","true","317","0","95","true"
"318","3","135","true","318","0","95","true"
"319","3","135","true","319","0","95","true"
"320","3","135","true","320","0","95","true"
"321","3","135","true","321","0","95","true"
"322","3","135","true","322","0","95","true"
"323","3","135","true","323","0","95","true"
"324","3","135","true","324","0","95","true"
"325","3","135","true","325","0","95","true"
"326","3","135","true","326","0","95","true"
"327","3","135","true","327","0","95","true"
"328","3","135","true","328","0","95","true"
"329","3","135","true","329","0","95","true"
"330","3","135","true","330","0","95","true"
"331","3","135","true","331","0","95","true"
"332","3","135","true","332","0","95","true"
"333","3","135","true","333","0","95","true"
"334","3","135","true","334","0","95","true"
"335","3","135","true","335","0","95","true"
"336","3","135","true","336","0","95","true"
"337","3","135","true","337","0","95","true"
"338","3","135","true","338","0","95","true"
"339","3","135","true","339","0","95","true"
"340","3","135","true","340","0","95","true"
"341","3","135","true","341","0","95","true"
"342","3","135","true","342","0","95","true"
"343","3","135","true","343","0","95","true"
"344","3","135","true","344","0","95","true"
"345","3","135","true","345","0","95","true"
"346","3","135","true","346","0","95","true"
"347","3","135","true","347","0","95","true"
"348","3","135","true","348","0","95","true"
"349","3","135","true","349","0","95","true"
"350","4","135","true","350","0","95","true"
"351","4","135","true","351","0","95","true"
"352","4","135","true","352","0","95","true"
"353","4","135","true","353","0","95","true"
"354","4","135","true","354","0","95","true"
"355","4","135","true","355","0","95","true"
"356","4","135","true","356","0","95","true"
"357","5","135","true","357","0","95","true"
"358","5","135","true","358","0","95","true"
"359","5","135","true","359","0","95","true"
"360","5","135","true","360","0","95","true"
"361","5","135","true","361","0","95","true"
"362","4","135","true","362","0","95","true"
"363","4","135","true","363","0","95","true"
"364","4","135","true","364","0","95","true"
"365","6","135","true","365","0","95","true"
"366","6","135","true","366","0","95","true"
"367","6","135","true","367","0","95","true"
"368","6","135","true","368","0","95","true"
"369","6","135","true","369","0","95","true"
"370","6","135","true","370","0","95","true"
"371","6","135","true","371","0","95","true"
"372","5","135","true","372","0","95","true"
"373","5","135","true","373","0","95","true"
"374","5","135","true","374","0","95","true"
"375","5","135","true","375","0","95","true"
"376","5","135","true","376","0","95","true"
"377","5","135","true","377","0","95","true"
"378","4","135","true","378","0","95","true"
"379","4","135","true","379","0","95","true"
"380","4","135","true","380","0","95","true"
"381","4","135","true","381","0","95","true"
"382","4","135","true","382","0","95","true"
"383","5","135","true","383","0","95","true"
"384","5","135","true","384","0","95","true"
"385","5","135","true","385","0","95","true"
"386","5","135","true","386","0","95","true"
"387","5","135","true","387","0","95","true"
"388","5","135","true","388","0","95","true"
"389","5","135","true","389","0","95","true"
"390","5","135","true","390","0","95","true"
"391","5","135","true","391","0","95","true"
"392","5","135","true","392","0","95","true"
"393","5","135","true","393","0","95","true"
"394","6","135","true","394","0","95","true"
"395","8","135","true","395","0","95","true"
"396","8","135","true","396","0","95","true"
"397","8","135","true","397","0","95","true"
"398","8","135","true","398","0","95","true"
"399","8","135","true","399","0","95","true"
"400","8","135","true","400","0","95","true"
"401","8","135","true","401","0","95","true"
"402","8","135","true","402","0","95","true"
"403","8","135","true","403","0","95","true"
"404","8","135","true","404","0","95","true"
"405","8","135","true","405","0","95","true"
"406","8","135","true","406","0","95","true"
"407","8","135","true","407","0","95","true"
"408","8","135","true","408","0","95","true"
"409","8","135","true","409","0","95","true"
"410","9","135","true","410","0","95","true"
"411","9","135","true","411","0","95","true"
"412","9","135","true","412","0","95","true"
"413","9","135","true","413","0","95","true"
"414","9","135","true","414","0","95","true"
"415","10","135","true","415","0","95","true"
"416","9","135","true","416","0","95","true"
"417","9","135","true","417","0","95","true"
"418","10","135","true","418","0","95","true"
"419","11","135","true","419","0","95","true"
"420","11","135","true","420","0","95","true"
"421","11","135","true","421","0","95","true"
"422","12","135","true","422","0","95","true"
"423","12","135","true","423","0","95","true"
"424","12","135","true","424","0","95","true"
"425","11","135","true","425","0","95","true"
"426","11","135","true","426","0","95","true"
"427","10","135","true","427","0","95","true"
"428","11","135","true","428","0","95","true"
"429","11","135","true","429","0","95","true"
"430","11","135","true","430","0","95","true"
"431","12","135","true","431","0","95","true"
"432","12","135","true","432","0","95","true"
"433","13","135","true","433","0","95","true"
"434","13","135","true","434","0","95","true"
"435","13","135","true","435","0","95","true"
"436","13","135","true","436","0","95","true"
"437","13","135","true","437","0","95","true"
"438","13","135","true","438","0","95","true"
"439","13","135","true","439","0","95","true"
"440","14","135","true","440","0","95","true"
"441","15","135","true","441","0","95","true"
"442","15","135","true","442","0","95","true"
"443","15","135","true","443","0","95","true"
"444","15","135","true","444","0","95","true"
"445","16","135","true","445","0","95","true"
"446","16","135","true","446","0","95","true"
"447","16","135","true","447","0","95","true"
"448","16","135","true","448","0","95","true"
"449","16","135","true","449","0","95","true"
"450","16","135","true","450","0","95","true"
"451","16","135","true","451","0","95","true"
"452","17","135","true","452","0","95","true"
"453","17","135","true","453","0","95","true"
"454","19","135","true","454","0","95","true"
"455","19","135","true","455","0","95","true"
"456","20","135","true","456","0","95","true"
"457","20","135","true","457","0","95","true"
"458","19","135","true","458","0","95","true"
"459","18","135","true","459","0","95","true"
"460","18","135","true","460","0","95","true"
"461","18","135","true","461","0","95","true"
"462","18","135","true","462","0","95","true"
"463","18","135","true","463","0","95","true"
"464","18","135","true","464","0","95","true"
"465","18","135","true","465","0","95","true"
"466","16","135","true","466","0","95","true"
"467","16","135","true","467","0","95","true"
"468","16","135","true","468","0","95","true"
"469","16","135","true","469","0","95","true"
"470","16","135","true","470","0","95","true"
"471","16","135","true","471","0","95","true"
"472","16","135","true","472","0","95","true"
"473","16","135","true","473","0","95","true"
"474","16","135","true","474","0","95","true"
"475","16","135","true","475","0","95","true"
"476","16","135","true","476","0","95","true"
"477","16","135","true","477","0","95","true"
"478","18","135","true","478","0","95","true"
"479","18","135","true","479","0","95","true"
"480","18","135","true","480","0","95","true"
"481","19","135","true","481","0","95","true"
"482","19","135","true","482","0","95","true"
"483","19","135","true","483","0","95","true"
"484","18","135","true","484","0","95","true"
"485","18","135","true","485","0","95","true"
"486","18","135","true","486","0","95","true"
"487","18","135","true","487","0","95","true"
"488","18","135","true","488","0","95","true"
"489","18","135","true","489","0","95","true"
"490","19","135","true","490","0","95","true"
"491","19","135","true","491","0","95","true"
"492","19","135","true","492","0","95","true"
"493","20","135","true","493","0","95","true"
"494","20","135","true","494","0","95","true"
"495","19","135","true","495","0","95","true"
"496","19","135","true","496","0","95","true"
"497","18","135","true","497","0","95","true"
"498","18","135","true","498","0","95","true"
"499","18","135","true","499","0","95","true"
"500","18","135","true","500","0","95","true"
"501","19","135","true","501","0","95","true"
"502","18","135","true","502","0","95","true"
"503","17","135","true","503","0","95","true"
"504","17","135","true","504","0","95","true"
"505","17","135","true","505","0","95","true"
"506","18","135","true","506","0","95","true"
"507","18","135","true","507","0","95","true"
"508","18","135","true","508","0","95","true"
"509","17","135","true","509","0","95","true"
"510","17","135","true","510","0","95","true"
"511","16","135","true","511","0","95","true"
"512","16","135","true","512","0","95","true"
"513","17","135","true","513","0","95","true"
"514","17","135","true","514","0","95","true"
"515","17","135","true","515","0","95","true"
"516","16","135","true","516","0","95","true"
"517","17","135","true","517","0","95","true"
"518","18","135","true","518","0","95","true"
"519","18","135","true","519","0","95","true"
"520","19","135","true","520","0","95","true"
"521","20","135","true","521","0","95","true"
"522","20","135","true","522","0","95","true"
